;tr0
a11;19.02.2016 13:16
a12;19.02.2016 13:53
a13;19.02.2016 14:36
a14;19.02.2016 14:57
a15;19.02.2016 15:40
a16;19.02.2016 15:56
a17;19.02.2016 16:28
a18;19.02.2016 17:16
a19;19.02.2016 17:42
a20;19.02.2016 18:30
a21;19.02.2016 19:29
a22;19.02.2016 20:01
a23;19.02.2016 20:17
a24;19.02.2016 21:00
a25;19.02.2016 21:26
a26;19.02.2016 22:04
a27;19.02.2016 22:25
a28;19.02.2016 22:41
a29;19.02.2016 23:24
a30;20.02.2016 0:22
a31;20.02.2016 1:10
a32;20.02.2016 1:42
a33;20.02.2016 2:03
a34;20.02.2016 3:07
a35;20.02.2016 3:39
a36;20.02.2016 4:11
a37;20.02.2016 5:05
a38;20.02.2016 5:47
a39;20.02.2016 6:46
a40;20.02.2016 7:07
d0;20.02.2016 7:50
d1;20.02.2016 8:11
d2;20.02.2016 8:49
d3;20.02.2016 9:47
d4;20.02.2016 10:40
;
;
;tr119
a0;19.02.2016 8:44
a1;19.02.2016 9:16
a2;19.02.2016 10:04
a3;19.02.2016 11:08
a4;19.02.2016 11:29
a5;19.02.2016 12:28
a6;19.02.2016 13:00
a7;19.02.2016 13:48
a8;19.02.2016 14:20
a9;19.02.2016 15:19
a10;19.02.2016 16:22
a11;19.02.2016 16:49
a12;19.02.2016 17:26
a13;19.02.2016 18:09
a14;19.02.2016 18:30
a15;19.02.2016 19:13
a16;19.02.2016 19:29
a17;19.02.2016 20:01
a18;19.02.2016 20:49
a19;19.02.2016 21:16
a20;19.02.2016 22:04
a21;19.02.2016 23:02
a22;19.02.2016 23:34
a23;19.02.2016 23:50
a24;20.02.2016 0:33
a25;20.02.2016 0:59
a26;20.02.2016 1:37
a27;20.02.2016 1:58
a28;20.02.2016 2:14
a29;20.02.2016 2:57
a30;20.02.2016 3:55
a31;20.02.2016 4:43
a32;20.02.2016 5:15
a33;20.02.2016 5:37
a34;20.02.2016 6:41
a35;20.02.2016 7:13
a36;20.02.2016 7:45
a37;20.02.2016 8:38
a38;20.02.2016 9:21
a39;20.02.2016 10:19
;
;
;tr12
a0;19.02.2016 12:44
a1;19.02.2016 13:16
a2;19.02.2016 14:04
a3;19.02.2016 15:08
a4;19.02.2016 15:29
a5;19.02.2016 16:28
a6;19.02.2016 17:00
a7;19.02.2016 17:48
a8;19.02.2016 18:20
a9;19.02.2016 19:18
a10;19.02.2016 20:22
b0;19.02.2016 21:21
b1;19.02.2016 22:14
b2;19.02.2016 22:36
b3;19.02.2016 23:13
b4;20.02.2016 0:06
b5;20.02.2016 1:10
b6;20.02.2016 1:37
b7;20.02.2016 2:03
b8;20.02.2016 3:02
b9;20.02.2016 3:45
;
;
;tr13
a0;19.02.2016 10:31
a1;19.02.2016 11:03
a2;19.02.2016 11:51
a3;19.02.2016 12:55
a4;19.02.2016 13:16
a5;19.02.2016 14:15
a6;19.02.2016 14:47
a7;19.02.2016 15:35
a8;19.02.2016 16:06
a9;19.02.2016 17:05
a10;19.02.2016 18:09
a11;19.02.2016 18:36
a12;19.02.2016 19:13
a13;19.02.2016 19:56
a14;19.02.2016 20:17
a15;19.02.2016 21:00
a16;19.02.2016 21:16
a17;19.02.2016 21:48
a18;19.02.2016 22:36
a19;19.02.2016 23:02
a20;19.02.2016 23:50
c0;20.02.2016 0:17
c1;20.02.2016 0:54
c2;20.02.2016 1:15
c3;20.02.2016 1:53
c4;20.02.2016 2:14
c5;20.02.2016 2:35
c6;20.02.2016 3:02
;
;
;tr14
a0;18.02.2016 23:51
a1;19.02.2016 0:23
a2;19.02.2016 1:11
a3;19.02.2016 2:15
a4;19.02.2016 2:36
a5;19.02.2016 3:35
a6;19.02.2016 4:07
a7;19.02.2016 4:55
a8;19.02.2016 5:27
a9;19.02.2016 6:26
a10;19.02.2016 7:29
a11;19.02.2016 7:56
a12;19.02.2016 8:33
a13;19.02.2016 9:16
a14;19.02.2016 9:37
a15;19.02.2016 10:20
a16;19.02.2016 10:36
a17;19.02.2016 11:08
a18;19.02.2016 11:56
a19;19.02.2016 12:23
a20;19.02.2016 13:11
a21;19.02.2016 14:09
