;tr0
a0;19.02.2016 9:37
a1;19.02.2016 10:09
a2;19.02.2016 10:57
a3;19.02.2016 12:01
a4;19.02.2016 12:23
a5;19.02.2016 13:21
a6;19.02.2016 13:53
a7;19.02.2016 14:41
a8;19.02.2016 15:13
a9;19.02.2016 16:12
a10;19.02.2016 17:16
a11;19.02.2016 17:42
a12;19.02.2016 18:20
a13;19.02.2016 19:02
a14;19.02.2016 19:24
a15;19.02.2016 20:06
a16;19.02.2016 20:22
a17;19.02.2016 20:54
a18;19.02.2016 21:42
a19;19.02.2016 22:09
a20;19.02.2016 22:57
c0;19.02.2016 23:24
c1;20.02.2016 0:01
c2;20.02.2016 0:22
c3;20.02.2016 0:59
c4;20.02.2016 1:21
c5;20.02.2016 1:42
c6;20.02.2016 2:09
;
;
;tr82
a0;19.02.2016 1:11
a1;19.02.2016 1:43
a2;19.02.2016 2:31
a3;19.02.2016 3:35
a4;19.02.2016 3:56
a5;19.02.2016 4:55
a6;19.02.2016 5:27
a7;19.02.2016 6:15
a8;19.02.2016 6:47
a9;19.02.2016 7:45
a10;19.02.2016 8:49
a11;19.02.2016 9:16
a12;19.02.2016 9:53
a13;19.02.2016 10:36
a14;19.02.2016 10:57
a15;19.02.2016 11:40
a16;19.02.2016 11:56
a17;19.02.2016 12:28
a18;19.02.2016 13:16
a19;19.02.2016 13:43
a20;19.02.2016 14:31
a21;19.02.2016 15:29
a22;19.02.2016 16:01
a23;19.02.2016 16:17
a24;19.02.2016 17:00
a25;19.02.2016 17:26
a26;19.02.2016 18:04
a27;19.02.2016 18:25
a28;19.02.2016 18:41
a29;19.02.2016 19:24
a30;19.02.2016 20:22
a31;19.02.2016 21:10
a32;19.02.2016 21:42
a33;19.02.2016 22:04
a34;19.02.2016 23:08
a35;19.02.2016 23:40
a36;20.02.2016 0:12
a37;20.02.2016 1:05
a38;20.02.2016 1:47
a39;20.02.2016 2:46
a40;20.02.2016 3:07
d0;20.02.2016 3:50
d1;20.02.2016 4:11
d2;20.02.2016 4:49
d3;20.02.2016 5:47
d4;20.02.2016 6:41
d5;20.02.2016 7:29
d6;20.02.2016 8:11
d7;20.02.2016 8:54
d8;20.02.2016 9:26
d9;20.02.2016 10:03
d10;20.02.2016 11:02
d11;20.02.2016 11:23
d12;20.02.2016 11:44
d13;20.02.2016 12:22
d14;20.02.2016 12:54
;
;
;tr83
a0;18.02.2016 21:11
a1;18.02.2016 21:43
a2;18.02.2016 22:31
a3;18.02.2016 23:35
a4;18.02.2016 23:56
a5;19.02.2016 0:55
a6;19.02.2016 1:27
a7;19.02.2016 2:15
a8;19.02.2016 2:47
a9;19.02.2016 3:46
a10;19.02.2016 4:50
a11;19.02.2016 5:16
a12;19.02.2016 5:54
a13;19.02.2016 6:36
a14;19.02.2016 6:57
a15;19.02.2016 7:40
a16;19.02.2016 7:56
a17;19.02.2016 8:28
a18;19.02.2016 9:16
a19;19.02.2016 9:43
a20;19.02.2016 10:31
a21;19.02.2016 11:29
a22;19.02.2016 12:01
a23;19.02.2016 12:17
a24;19.02.2016 13:00
a25;19.02.2016 13:27
a26;19.02.2016 14:04
a27;19.02.2016 14:25
a28;19.02.2016 14:41
a29;19.02.2016 15:24
a30;19.02.2016 16:22
a31;19.02.2016 17:10
a32;19.02.2016 17:42
a33;19.02.2016 18:04
a34;19.02.2016 19:08
a35;19.02.2016 19:40
a36;19.02.2016 20:12
a37;19.02.2016 21:05
a38;19.02.2016 21:48
a39;19.02.2016 22:46
a40;19.02.2016 23:08
a41;19.02.2016 23:29
a42;20.02.2016 0:33
a43;20.02.2016 1:21
a44;20.02.2016 1:37
a45;20.02.2016 2:35
a46;20.02.2016 3:29
a47;20.02.2016 4:06
a48;20.02.2016 4:54
a49;20.02.2016 5:21
a50;20.02.2016 6:19
a51;20.02.2016 6:51
a52;20.02.2016 7:18
a53;20.02.2016 7:34
a54;20.02.2016 7:55
a55;20.02.2016 8:49
a56;20.02.2016 9:21
a57;20.02.2016 10:19
a58;20.02.2016 11:23
a59;20.02.2016 12:11
a60;20.02.2016 13:04
e0;20.02.2016 13:36
e1;20.02.2016 14:40
e2;20.02.2016 15:12
e3;20.02.2016 15:55
e4;20.02.2016 16:22
e5;20.02.2016 17:26
e6;20.02.2016 17:42
e7;20.02.2016 18:29
e8;20.02.2016 19:28
e9;20.02.2016 19:49
;
;
;tr84
b10;19.02.2016 3:51
b9;19.02.2016 4:34
b8;19.02.2016 5:16
b7;19.02.2016 6:15
b6;19.02.2016 6:42
b5;19.02.2016 7:08
b4;19.02.2016 8:12
b3;19.02.2016 9:05
b2;19.02.2016 9:43
b1;19.02.2016 10:04
b0;19.02.2016 10:57
a10;19.02.2016 11:56
a11;19.02.2016 12:23
a12;19.02.2016 13:00
a13;19.02.2016 13:43
a14;19.02.2016 14:04
a15;19.02.2016 14:47
a16;19.02.2016 15:03
a17;19.02.2016 15:35
a18;19.02.2016 16:22
a19;19.02.2016 16:49
a20;19.02.2016 17:37
a21;19.02.2016 18:36
a22;19.02.2016 19:08
a23;19.02.2016 19:24
a24;19.02.2016 20:06
a25;19.02.2016 20:33
a26;19.02.2016 21:10
a27;19.02.2016 21:32
a28;19.02.2016 21:48
a29;19.02.2016 22:30
a30;19.02.2016 23:29
a31;20.02.2016 0:17
a32;20.02.2016 0:49
a33;20.02.2016 1:10
a34;20.02.2016 2:14
a35;20.02.2016 2:46
a36;20.02.2016 3:18
a37;20.02.2016 4:11
a38;20.02.2016 4:54
a39;20.02.2016 5:53
a40;20.02.2016 6:14
d0;20.02.2016 6:57
d1;20.02.2016 7:18
d2;20.02.2016 7:55
d3;20.02.2016 8:54
d4;20.02.2016 9:47
;
;
;tr85
a0;19.02.2016 6:57
a1;19.02.2016 7:29
a2;19.02.2016 8:17
a3;19.02.2016 9:21
a4;19.02.2016 9:43
a5;19.02.2016 10:41
a6;19.02.2016 11:13
a7;19.02.2016 12:01
a8;19.02.2016 12:33
a9;19.02.2016 13:32
a10;19.02.2016 14:36
a11;19.02.2016 15:03
a12;19.02.2016 15:40
a13;19.02.2016 16:22
a14;19.02.2016 16:44
a15;19.02.2016 17:26
a16;19.02.2016 17:42
a17;19.02.2016 18:14
a18;19.02.2016 19:02
a19;19.02.2016 19:29
a20;19.02.2016 20:17
a21;19.02.2016 21:16
a22;19.02.2016 21:48
a23;19.02.2016 22:04
a24;19.02.2016 22:46
a25;19.02.2016 23:13
a26;19.02.2016 23:50
a27;20.02.2016 0:12
a28;20.02.2016 0:28
a29;20.02.2016 1:10
a30;20.02.2016 2:09
a31;20.02.2016 2:57
a32;20.02.2016 3:29
a33;20.02.2016 3:50
a34;20.02.2016 4:54
a35;20.02.2016 5:26
a36;20.02.2016 5:58
a37;20.02.2016 6:51
a38;20.02.2016 7:34
a39;20.02.2016 8:33
;
;
;tr86
a20;18.02.2016 20:18
a21;18.02.2016 21:17
a22;18.02.2016 21:49
a23;18.02.2016 22:04
a24;18.02.2016 22:47
a25;18.02.2016 23:14
a26;18.02.2016 23:51
a27;19.02.2016 0:12
a28;19.02.2016 0:28
a29;19.02.2016 1:11
a30;19.02.2016 2:10
a31;19.02.2016 2:58
a32;19.02.2016 3:30
a33;19.02.2016 3:51
a34;19.02.2016 4:55
a35;19.02.2016 5:27
a36;19.02.2016 5:59
a37;19.02.2016 6:52
a38;19.02.2016 7:35
a39;19.02.2016 8:33
a40;19.02.2016 8:55
a41;19.02.2016 9:16
a42;19.02.2016 10:20
a43;19.02.2016 11:08
a44;19.02.2016 11:24
a45;19.02.2016 12:23
a46;19.02.2016 13:16
a47;19.02.2016 13:53
a48;19.02.2016 14:41
a49;19.02.2016 15:08
;
;
;tr87
a30;18.02.2016 22:31
a31;18.02.2016 23:19
a32;18.02.2016 23:51
a33;19.02.2016 0:12
a34;19.02.2016 1:16
a35;19.02.2016 1:48
a36;19.02.2016 2:20
a37;19.02.2016 3:14
a38;19.02.2016 3:56
a39;19.02.2016 4:55
a40;19.02.2016 5:16
a41;19.02.2016 5:38
a42;19.02.2016 6:42
a43;19.02.2016 7:29
a44;19.02.2016 7:45
a45;19.02.2016 8:44
a46;19.02.2016 9:37
a47;19.02.2016 10:15
a48;19.02.2016 11:03
a49;19.02.2016 11:29
a50;19.02.2016 12:28
a51;19.02.2016 13:00
a52;19.02.2016 13:27
a53;19.02.2016 13:43
a54;19.02.2016 14:04
a55;19.02.2016 14:57
a56;19.02.2016 15:29
a57;19.02.2016 16:28
a58;19.02.2016 17:32
a59;19.02.2016 18:20
a60;19.02.2016 19:13
a61;19.02.2016 19:45
a62;19.02.2016 20:33
a63;19.02.2016 21:21
a64;19.02.2016 22:25
a65;19.02.2016 23:02
a66;19.02.2016 23:50
a67;20.02.2016 0:22
a68;20.02.2016 0:49
a69;20.02.2016 1:15
;
;
;tr88
b0;19.02.2016 1:27
b1;19.02.2016 2:20
b2;19.02.2016 2:42
b3;19.02.2016 3:19
b4;19.02.2016 4:12
b5;19.02.2016 5:16
b6;19.02.2016 5:43
b7;19.02.2016 6:10
b8;19.02.2016 7:08
b9;19.02.2016 7:51
b10;19.02.2016 8:33
b11;19.02.2016 9:32
b12;19.02.2016 9:53
b13;19.02.2016 10:25
b14;19.02.2016 10:57
b15;19.02.2016 11:24
b16;19.02.2016 11:51
b17;19.02.2016 12:17
b18;19.02.2016 12:39
b19;19.02.2016 13:05
b20;19.02.2016 13:59
b21;19.02.2016 14:41
b22;19.02.2016 15:24
b23;19.02.2016 16:17
b24;19.02.2016 16:38
b25;19.02.2016 17:00
b26;19.02.2016 17:48
b27;19.02.2016 18:20
b28;19.02.2016 18:57
b29;19.02.2016 19:29
;
;
;tr89
b10;18.02.2016 20:55
b11;18.02.2016 21:54
b12;18.02.2016 22:15
b13;18.02.2016 22:47
b14;18.02.2016 23:19
b15;18.02.2016 23:46
b16;19.02.2016 0:12
b17;19.02.2016 0:39
b18;19.02.2016 1:00
b19;19.02.2016 1:27
;
;
;tr9
d0;18.02.2016 22:31
d1;18.02.2016 22:52
d2;18.02.2016 23:30
d3;19.02.2016 0:28
d4;19.02.2016 1:22
d5;19.02.2016 2:10
d6;19.02.2016 2:52
d7;19.02.2016 3:35
d8;19.02.2016 4:07
d9;19.02.2016 4:44
d10;19.02.2016 5:43
d11;19.02.2016 6:04
d12;19.02.2016 6:26
d13;19.02.2016 7:03
d14;19.02.2016 7:35
d15;19.02.2016 7:56
d16;19.02.2016 8:44
d17;19.02.2016 9:00
d18;19.02.2016 9:59
d19;19.02.2016 10:57
d20;19.02.2016 11:35
d21;19.02.2016 12:12
d22;19.02.2016 13:00
d23;19.02.2016 13:59
d24;19.02.2016 14:36
;
;
;tr90
b15;18.02.2016 22:31
b16;18.02.2016 22:58
b17;18.02.2016 23:24
b18;18.02.2016 23:46
b19;19.02.2016 0:12
b20;19.02.2016 1:06
b21;19.02.2016 1:48
b22;19.02.2016 2:31
b23;19.02.2016 3:24
b24;19.02.2016 3:46
b25;19.02.2016 4:07
b26;19.02.2016 4:55
b27;19.02.2016 5:27
b28;19.02.2016 6:04
b29;19.02.2016 6:36
;
;
;tr91
c0;19.02.2016 2:04
c1;19.02.2016 2:42
c2;19.02.2016 3:03
c3;19.02.2016 3:40
c4;19.02.2016 4:02
c5;19.02.2016 4:23
c6;19.02.2016 4:50
c7;19.02.2016 5:54
c8;19.02.2016 6:36
c9;19.02.2016 6:57
c10;19.02.2016 7:24
c11;19.02.2016 8:23
c12;19.02.2016 9:11
c13;19.02.2016 9:53
c14;19.02.2016 10:57
;
;
;tr92
c0;18.02.2016 21:11
c1;18.02.2016 21:49
c2;18.02.2016 22:10
c3;18.02.2016 22:47
c4;18.02.2016 23:08
c5;18.02.2016 23:30
c6;18.02.2016 23:56
c7;19.02.2016 1:00
c8;19.02.2016 1:43
c9;19.02.2016 2:04
c10;19.02.2016 2:31
c11;19.02.2016 3:30
c12;19.02.2016 4:18
c13;19.02.2016 5:00
c14;19.02.2016 6:04
c15;19.02.2016 6:26
c16;19.02.2016 7:19
c17;19.02.2016 8:01
c18;19.02.2016 8:33
c19;19.02.2016 9:32
c20;19.02.2016 10:20
c21;19.02.2016 10:41
c22;19.02.2016 11:24
c23;19.02.2016 12:12
c24;19.02.2016 12:49
;
;
;tr93
c20;18.02.2016 22:58
c21;18.02.2016 23:19
c22;19.02.2016 0:02
c23;19.02.2016 0:50
c24;19.02.2016 1:27
;
;
;tr94
d0;18.02.2016 21:38
d1;18.02.2016 21:59
d2;18.02.2016 22:36
d3;18.02.2016 23:35
d4;19.02.2016 0:28
d5;19.02.2016 1:16
d6;19.02.2016 1:59
d7;19.02.2016 2:42
d8;19.02.2016 3:14
d9;19.02.2016 3:51
d10;19.02.2016 4:50
d11;19.02.2016 5:11
d12;19.02.2016 5:32
d13;19.02.2016 6:10
d14;19.02.2016 6:42
d15;19.02.2016 7:03
d16;19.02.2016 7:51
d17;19.02.2016 8:07
d18;19.02.2016 9:05
d19;19.02.2016 10:04
d20;19.02.2016 10:41
d21;19.02.2016 11:19
d22;19.02.2016 12:07
d23;19.02.2016 13:05
d24;19.02.2016 13:43
;
;
;tr95
d20;18.02.2016 22:04
d21;18.02.2016 22:42
d22;18.02.2016 23:30
d23;19.02.2016 0:28
d24;19.02.2016 1:06
d25;19.02.2016 2:10
d26;19.02.2016 3:14
d27;19.02.2016 3:35
d28;19.02.2016 4:18
d29;19.02.2016 4:44
d30;19.02.2016 5:00
d31;19.02.2016 5:16
d32;19.02.2016 6:20
d33;19.02.2016 7:19
d34;19.02.2016 7:35
d35;19.02.2016 8:33
d36;19.02.2016 9:11
d37;19.02.2016 10:09
d38;19.02.2016 10:36
d39;19.02.2016 11:40
d40;19.02.2016 11:56
d41;19.02.2016 12:17
d42;19.02.2016 12:33
d43;19.02.2016 13:16
d44;19.02.2016 13:32
d45;19.02.2016 14:09
d46;19.02.2016 14:31
d47;19.02.2016 14:47
d48;19.02.2016 15:29
d49;19.02.2016 15:56
;
;
;tr96
d0;19.02.2016 1:38
d1;19.02.2016 1:59
d2;19.02.2016 2:36
d3;19.02.2016 3:35
d4;19.02.2016 4:28
d5;19.02.2016 5:16
d6;19.02.2016 5:59
d7;19.02.2016 6:42
d8;19.02.2016 7:13
d9;19.02.2016 7:51
d10;19.02.2016 8:49
d11;19.02.2016 9:11
;
;
;tr97
a0;19.02.2016 13:37
a1;19.02.2016 14:09
a2;19.02.2016 14:57
a3;19.02.2016 16:01
a4;19.02.2016 16:22
a5;19.02.2016 17:21
a6;19.02.2016 17:53
a7;19.02.2016 18:41
a8;19.02.2016 19:13
a9;19.02.2016 20:12
a10;19.02.2016 21:16
b0;19.02.2016 22:14
b1;19.02.2016 23:08
b2;19.02.2016 23:29
b3;20.02.2016 0:06
b4;20.02.2016 0:59
b5;20.02.2016 2:03
b6;20.02.2016 2:30
b7;20.02.2016 2:57
b8;20.02.2016 3:55
b9;20.02.2016 4:38
;
;
;tr98
a0;19.02.2016 10:04
a1;19.02.2016 10:36
a2;19.02.2016 11:24
a3;19.02.2016 12:28
a4;19.02.2016 12:49
a5;19.02.2016 13:48
a6;19.02.2016 14:20
a7;19.02.2016 15:08
a8;19.02.2016 15:40
a9;19.02.2016 16:38
a10;19.02.2016 17:42
a11;19.02.2016 18:09
a12;19.02.2016 18:46
a13;19.02.2016 19:29
a14;19.02.2016 19:50
a15;19.02.2016 20:33
a16;19.02.2016 20:49
a17;19.02.2016 21:21
a18;19.02.2016 22:09
a19;19.02.2016 22:36
a20;19.02.2016 23:24
c0;19.02.2016 23:50
c1;20.02.2016 0:28
c2;20.02.2016 0:49
c3;20.02.2016 1:26
c4;20.02.2016 1:47
c5;20.02.2016 2:09
c6;20.02.2016 2:35
;
;
;tr99
a0;19.02.2016 0:44
a1;19.02.2016 1:16
a2;19.02.2016 2:04
a3;19.02.2016 3:08
a4;19.02.2016 3:30
a5;19.02.2016 4:28
a6;19.02.2016 5:00
a7;19.02.2016 5:48
a8;19.02.2016 6:20
a9;19.02.2016 7:19
a10;19.02.2016 8:23
a11;19.02.2016 8:49
a12;19.02.2016 9:27
a13;19.02.2016 10:09
a14;19.02.2016 10:31
a15;19.02.2016 11:13
a16;19.02.2016 11:29
a17;19.02.2016 12:01
a18;19.02.2016 12:49
a19;19.02.2016 13:16
a20;19.02.2016 14:04
a21;19.02.2016 15:03
a22;19.02.2016 15:35
a23;19.02.2016 15:50
a24;19.02.2016 16:33
a25;19.02.2016 17:00
a26;19.02.2016 17:37
a27;19.02.2016 17:58
a28;19.02.2016 18:14
a29;19.02.2016 18:57
a30;19.02.2016 19:56
a31;19.02.2016 20:44
a32;19.02.2016 21:16
a33;19.02.2016 21:37
a34;19.02.2016 22:41
a35;19.02.2016 23:13
a36;19.02.2016 23:45
a37;20.02.2016 0:38
a38;20.02.2016 1:21
a39;20.02.2016 2:19
a40;20.02.2016 2:41
d0;20.02.2016 3:23
d1;20.02.2016 3:45
d2;20.02.2016 4:22
d3;20.02.2016 5:21
d4;20.02.2016 6:14
d5;20.02.2016 7:02
d6;20.02.2016 7:45
d7;20.02.2016 8:27
d8;20.02.2016 8:59
d9;20.02.2016 9:36
d10;20.02.2016 10:35
d11;20.02.2016 10:56
d12;20.02.2016 11:18
d13;20.02.2016 11:55
d14;20.02.2016 12:27
